# Hills Cf(x) comparison: SST vs DNS (Krank 2018)
# DNS separation: x/H=0.1691
# DNS reattachment: x/H=5.0357
# x/H  Cf_SST  Cf_DNS
2.252930  0.00218793  -0.00375535
2.258789  0.00219061  -0.00377798
2.264648  0.00219327  -0.00380061
2.270508  0.00219589  -0.00382454
2.276367  0.00219848  -0.00384873
2.282227  0.00220103  -0.00387286
2.288086  0.00220356  -0.00389668
2.293945  0.00220606  -0.00392050
2.299805  0.00220854  -0.00394361
2.305664  0.00221100  -0.00396600
2.311523  0.00221344  -0.00398840
2.317383  0.00221587  -0.00401006
2.323242  0.00221830  -0.00403158
2.329102  0.00222071  -0.00405315
2.334961  0.00222311  -0.00407491
2.340820  0.00222551  -0.00409668
2.346680  0.00222790  -0.00411867
2.352539  0.00223028  -0.00414089
2.358398  0.00223265  -0.00416310
2.364258  0.00223500  -0.00418460
2.370117  0.00223735  -0.00420595
2.375977  0.00223967  -0.00422700
2.381836  0.00224197  -0.00424653
2.387695  0.00224426  -0.00426605
2.393555  0.00224652  -0.00428460
2.399414  0.00224877  -0.00430217
2.405273  0.00225099  -0.00431974
2.411133  0.00225320  -0.00433645
2.416992  0.00225539  -0.00435298
2.422852  0.00225756  -0.00436910
2.428711  0.00225972  -0.00438320
2.434570  0.00226186  -0.00439730
2.440430  0.00226399  -0.00441016
2.446289  0.00226610  -0.00442178
2.452148  0.00226820  -0.00443341
2.458008  0.00227028  -0.00444386
2.463867  0.00227234  -0.00445407
2.469727  0.00227438  -0.00446424
2.475586  0.00227639  -0.00447420
2.481445  0.00227836  -0.00448416
2.487305  0.00228030  -0.00449414
2.493164  0.00228221  -0.00450413
2.499023  0.00228407  -0.00451411
2.504883  0.00228590  -0.00452347
2.510742  0.00228770  -0.00453270
2.516602  0.00228947  -0.00454177
2.522461  0.00229121  -0.00455005
2.528320  0.00229294  -0.00455833
2.534180  0.00229466  -0.00456601
2.540039  0.00229637  -0.00457310
2.545898  0.00229809  -0.00458019
2.551758  0.00229983  -0.00458565
2.557617  0.00230157  -0.00459078
2.563477  0.00230333  -0.00459548
2.569336  0.00230510  -0.00459802
2.575195  0.00230688  -0.00460057
2.581055  0.00230866  -0.00460280
2.586914  0.00231044  -0.00460469
2.592773  0.00231221  -0.00460658
2.598633  0.00231396  -0.00460927
2.604492  0.00231568  -0.00461212
2.610352  0.00231737  -0.00461513
2.616211  0.00231903  -0.00461897
2.622070  0.00232064  -0.00462282
2.627930  0.00232222  -0.00462643
2.633789  0.00232375  -0.00462981
2.639648  0.00232525  -0.00463319
2.645508  0.00232671  -0.00463470
2.651367  0.00232814  -0.00463583
2.657227  0.00232955  -0.00463663
2.663086  0.00233094  -0.00463575
2.668945  0.00233231  -0.00463486
2.674805  0.00233367  -0.00463349
2.680664  0.00233502  -0.00463163
2.686523  0.00233637  -0.00462977
2.692383  0.00233772  -0.00463019
2.698242  0.00233907  -0.00463107
2.704102  0.00234041  -0.00463201
2.709961  0.00234176  -0.00463332
2.715820  0.00234309  -0.00463462
2.721680  0.00234442  -0.00463549
2.727539  0.00234573  -0.00463594
2.733398  0.00234702  -0.00463639
2.739258  0.00234829  -0.00463605
2.745117  0.00234953  -0.00463556
2.750977  0.00235074  -0.00463495
2.756836  0.00235192  -0.00463374
2.762695  0.00235306  -0.00463254
