
NOTICE: Existing SQLite export found: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite
        It is assumed file was previously exported from: /storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.nsys-rep
        Consider using --force-export=true if needed.

Processing [/storage/home/hcoda1/6/sbryngelson3/scratch/nncfd/profiles/taylor_green_fft.sqlite] with [/storage/pace-apps/manual/packages/nvhpc/25.5/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)   Style            Range         
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  -----------  -------  -----------------------
      1.9    3,235,360,382     10,001     323,503.7     323,393.0     322,464     325,216        480.7  nvkernel__ZN5nncfd10RANSSolver16correct_velocityEv_F1L2328_234                                      
      1.8    3,217,770,735     10,001     321,744.9     321,632.0     320,769     323,617        418.9  nvkernel__ZN5nncfd10RANSSolver16correct_velocityEv_F1L2396_242                                      
      1.7    2,942,387,196     10,001     294,209.3     294,113.0     291,264     299,392        975.9  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L3402_46                                                    
      1.7    2,931,642,975     10,001     293,135.0     293,057.0     290,335     299,072        958.6  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L3423_48                                                    
      1.6    2,878,494,475     10,001     287,820.7     287,648.0     282,305     300,225      2,159.4  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L3450_50                                                    
      1.6    2,840,728,281     10,001     284,044.4     284,129.0     281,664     286,720      1,143.6  void kernel_wrapper<unsigned int, &packR2C_kernel_impl<unsigned int, double>>(RealComplex_st<T1>)   
      1.5    2,609,454,310     10,001     260,919.3     259,841.0     258,624  10,679,662    104,193.7  nncfd::kernel_pack_and_partial_sum(const double *, double *, double *, int, int, int, int, int, int)
      1.4    2,515,605,611     20,002     125,767.7     125,664.0     123,264     129,248        846.5  void vector_fft<(unsigned int)156, EPT<(unsigned int)13>, (unsigned int)8, (unsigned int)0, (paddin…
      1.3    2,306,424,570     10,001     230,619.4     230,208.0     229,536     232,736        814.4  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2895_24                                                    
      1.3    2,268,259,467     10,001     226,803.3     226,528.0     225,792     228,545        666.7  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2857_20                                                    
      1.3    2,264,713,525     10,001     226,448.7     226,081.0     225,440     228,448        782.5  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2951_28                                                    
      1.3    2,183,778,985     10,001     218,356.1     218,303.0     216,992     220,449        556.0  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2599_8                                                     
      1.2    2,178,214,771     10,001     217,799.7     217,792.0     216,416     219,488        439.8  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L3092_38                                                    
      1.2    2,164,610,250     10,001     216,439.4     216,385.0     215,008     218,528        541.6  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2613_10                                                    
      1.2    2,160,338,717     10,001     216,012.3     216,000.0     214,559     218,816        511.5  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2585_6                                                     
      1.1    1,976,437,014     10,001     197,623.9     197,665.0     195,520     199,169        452.5  nvkernel__ZN5nncfd10RANSSolver16correct_velocityEv_F1L2430_246                                      
      1.1    1,871,499,617     10,001     187,131.2     187,169.0     185,536     189,280        433.0  void preprocess_kernel<double, unsigned int, (loadstore_modifier_t)2>(real_complex_args_t<T2>)      
      1.0    1,703,798,569     10,001     170,362.8     170,400.0     169,535     172,160        449.4  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2765_18                                                    
      1.0    1,697,696,930     10,001     169,752.7     169,728.0     167,264     172,704        785.1  nncfd::kernel_final_reduce(const double *, double *, int)                                           
      0.8    1,469,923,042     10,001     146,977.6     146,976.0     146,848     148,512         98.5  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L3111_40                                                    
      0.7    1,293,544,402     10,001     129,341.5     129,184.0     128,128     153,888        903.4  nncfd::kernel_subtract_mean(double *, const double *, unsigned long)                                
      0.4      676,435,940      2,001     338,048.9     333,056.0     323,904     353,953      9,654.7  nvkernel__ZNK5nncfd10RANSSolver17check_for_nan_infEi_F1L3828_130                                    
      0.3      465,044,712      2,001     232,406.2     232,353.0     229,056     236,609      1,097.7  nvkernel__ZNK5nncfd10RANSSolver17check_for_nan_infEi_F1L3810_126                                    
      0.3      460,552,379      2,001     230,161.1     230,112.0     226,465     233,760      1,208.0  nvkernel__ZNK5nncfd10RANSSolver17check_for_nan_infEi_F1L3819_128                                    
      0.1      118,541,982     10,001      11,853.0      11,744.0      10,912      14,176        482.1  nvkernel__ZN5nncfd10RANSSolver17apply_velocity_bcEv_F1L1656_142                                     
      0.1      105,378,248     10,001      10,536.8      10,464.0       9,888      12,288        327.0  nvkernel__ZN5nncfd10RANSSolver17apply_velocity_bcEv_F1L1878_160                                     
      0.1      100,508,678     10,001      10,049.9       9,920.0       9,344      12,192        418.3  nvkernel__ZN5nncfd10RANSSolver17apply_velocity_bcEv_F1L1687_146                                     
      0.1       97,818,418     10,001       9,780.9       9,728.0       9,024      11,584        321.9  nvkernel__ZN5nncfd10RANSSolver17apply_velocity_bcEv_F1L1719_150                                     
      0.0       83,723,383     10,001       8,371.5       8,256.0       7,680      10,816        426.6  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2876_22                                                    
      0.0       82,692,245     10,001       8,268.4       8,224.0       7,616      10,048        283.1  nvkernel__ZN5nncfd10RANSSolver16correct_velocityEv_F1L2344_236                                      
      0.0       45,985,263     10,001       4,598.1       4,544.0       4,256       6,080        211.6  nvkernel__ZN5nncfd10RANSSolver17apply_velocity_bcEv_F1L1703_148                                     
      0.0       44,096,679     10,001       4,409.2       4,384.0       4,128       5,536        178.8  nvkernel__ZN5nncfd10RANSSolver17apply_velocity_bcEv_F1L1831_158                                     
      0.0       40,041,749     10,001       4,003.8       3,936.0       3,584       5,888        290.0  nvkernel__ZN5nncfd10RANSSolver17apply_velocity_bcEv_F1L1671_144                                     
      0.0       40,004,807     10,001       4,000.1       3,968.0       3,584       5,312        210.5  nvkernel__ZN5nncfd10RANSSolver17apply_velocity_bcEv_F1L1901_162                                     
      0.0       35,977,210     10,001       3,597.4       3,552.0       3,360       4,608        148.0  nvkernel__ZN5nncfd10RANSSolver17apply_velocity_bcEv_F1L1803_156                                     
      0.0       35,558,051     10,001       3,555.4       3,520.0       3,232       4,640        152.2  nvkernel__ZN5nncfd10RANSSolver17apply_velocity_bcEv_F1L1773_154                                     
      0.0       32,945,599     10,001       3,294.2       3,264.0       3,008       4,320        128.5  nvkernel__ZN5nncfd10RANSSolver17apply_velocity_bcEv_F1L1734_152                                     
      0.0       31,239,656          1  31,239,656.0  31,239,656.0  31,239,656  31,239,656          0.0  nvkernel__ZN5nncfd16FFTPoissonSolver19initialize_cusparseEv_F1L512_10                               
      0.0       30,877,693     10,001       3,087.5       3,040.0       2,848       5,184        249.1  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2914_26                                                    
      0.0       28,628,407     10,001       2,862.6       2,816.0       2,656       4,448        178.9  nvkernel__ZN5nncfd10RANSSolver16correct_velocityEv_F1L2378_240                                      
      0.0       26,227,408     10,001       2,622.5       2,560.0       2,400       4,896        254.2  nvkernel__ZN5nncfd10RANSSolver4stepEv_F1L2966_30                                                    
      0.0       26,016,274     10,001       2,601.4       2,560.0       2,400       3,840        134.6  nvkernel__ZN5nncfd10RANSSolver16correct_velocityEv_F1L2412_244                                      
